COOPID,WBNID,CD,ELEM,UN,YEAR,A,S,MO,DA,  JAN ,F,F,MO,DA,  FEB ,F,F,MO,DA,  MAR ,F,F,MO,DA,  APR ,F,F,MO,DA,  MAY ,F,F,MO,DA,  JUN ,F,F,MO,DA,  JUL ,F,F,MO,DA,  AUG ,F,F,MO,DA,  SEP ,F,F,MO,DA,  OCT ,F,F,MO,DA,  NOV ,F,F,MO,DA,  DEC ,F,F,MO,DA,ANNUAL,F,F
040693,99999,04,TPCP,HI,1969,9,9,01,00, 00922, , ,02,00, 00876, , ,03,00, 00144, , ,04,00, 00246, , ,05,00, 00000, , ,06,00, 00003, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00000,T, ,10,00, 00212, , ,11,00, 00143, , ,12,00, 00847, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1970,9,9,01,00, 01114, , ,02,00, 00185, , ,03,00, 00171, , ,04,00, 00000,T, ,05,00, 00000,T, ,06,00, 00056, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00000, , ,10,00, 00094, , ,11,00, 00779, , ,12,00, 00752, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1971,9,9,01,00, 00162, , ,02,00, 00048, , ,03,00, 00325, , ,04,00, 00092, , ,05,00, 00012, , ,06,00, 00000,T, ,07,00, 00000, , ,08,00, 00000,T, ,09,00, 00024, , ,10,00, 00006, , ,11,00, 00184, , ,12,00, 00472, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1972,9,9,01,00, 00165, , ,02,00, 00196, , ,03,00, 00032, , ,04,00, 00143, , ,05,00, 00002, , ,06,00, 00037, , ,07,00, 00000,T, ,08,00, 00000, , ,09,00, 00117, , ,10,00, 00370, , ,11,00, 00695, , ,12,00, 00313, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1973,9,9,01,00, 01247, , ,02,00, 00647, , ,03,00, 00294, , ,04,00, 00014, , ,05,00, 00001, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00000,T, ,09,00, 00076, , ,10,00, 00167, , ,11,00, 01147, , ,12,00, 00388, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1974,9,9,01,00, 00412, , ,02,00, 00296, , ,03,00, 00647, , ,04,00, 00416, , ,05,00, 00002, , ,06,00, 00009, , ,07,00, 00150, , ,08,00, 00000, , ,09,00, 00000, , ,10,00, 00125, , ,11,00, 00104, , ,12,00, 00274, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1975,9,9,01,00, 00216, , ,02,00, 00511, , ,03,00, 00680, , ,04,00, 00253, , ,05,00, 00000,T, ,06,00, 00005, , ,07,00, 00021, , ,08,00, 00001, , ,09,00, 00000,T, ,10,00, 00422, , ,11,00, 00071, , ,12,00, 00062, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1976,9,9,01,00, 00029, , ,02,00, 00202, , ,03,00, 00129, , ,04,00, 00099, , ,05,00, 00000,T, ,06,00, 00005, , ,07,00, 00000, , ,08,00, 00133, , ,09,00, 00047, , ,10,00, 00044, , ,11,00, 00088, , ,12,00, 00238, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1977,9,9,01,00, 00144, , ,02,00, 00104, , ,03,00, 00247, , ,04,00, 00045, , ,05,00, 00112, , ,06,00, 00000,T, ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00165, , ,10,00, 00034, , ,11,00, 00403, , ,12,00, 00482, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1978,9,9,01,00, 00928, , ,02,00, 00471, , ,03,00, 00648, , ,04,00, 00426, , ,05,00, 00000, , ,06,00, 00000,T, ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00070, , ,10,00, 00000, , ,11,00, 00153, , ,12,00, 00077, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1979,9,9,01,00, 00822, , ,02,00, 00680, , ,03,00, 00248, , ,04,00, 00163, , ,05,00, 00024, , ,06,00, 00000, , ,07,00, 00009, , ,08,00, 00000,T, ,09,00, 00000,T, ,10,00, 00254, , ,11,00, 00334, , ,12,00, 00560, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1980,9,9,01,00, 00512, , ,02,00, 00802, , ,03,00, 00222, , ,04,00, 00157, , ,05,00, 00027, , ,06,00, 00006, , ,07,00, 00016, , ,08,00, 00000, , ,09,00, 00000,T, ,10,00, 00020, , ,11,00, 00029, , ,12,00, 00277, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1981,9,9,01,00, 00618, , ,02,00, 00125, , ,03,00, 00443, , ,04,00, 00028, , ,05,00, 00023, , ,06,00, 00000, , ,07,00, 00000,T, ,08,00, 00000, , ,09,00, 00010, , ,10,00, 00319, , ,11,00, 00763, , ,12,00, 00674, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1982,9,9,01,00, 01029, , ,02,00, 00420, , ,03,00, 00903, , ,04,00, 00534, , ,05,00, 00000,T, ,06,00, 00016, , ,07,00, 00000, , ,08,00, 00000,T, ,09,00, 00081, , ,10,00, 00295, , ,11,99,-99999,M, ,12,00, 00369, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1983,9,9,01,00, 00674, , ,02,00, 00902, , ,03,00, 01174, , ,04,00, 00411, , ,05,00, 00038, , ,06,00, 00000, , ,07,00, 00000,T, ,08,00, 00037, , ,09,00, 00049, , ,10,00, 00039, , ,11,00, 00786, , ,12,00, 00732, , ,13,00, 04842, , 
040693,99999,04,TPCP,HI,1984,9,9,01,00, 00022, , ,02,00, 00248, , ,03,00, 00191, , ,04,00, 00105, , ,05,00, 00005, , ,06,00, 00027, , ,07,00, 00000,T, ,08,00, 00013, , ,09,00, 00016, , ,10,00, 00221, , ,11,00, 00751, , ,12,00, 00217, , ,13,00, 01816, , 
040693,99999,04,TPCP,HI,1985,9,9,01,00, 00066, , ,02,00, 00234, , ,03,00, 00432, , ,04,00, 00006, , ,05,00, 00002, , ,06,00, 00015, , ,07,00, 00007, , ,08,00, 00000,T, ,09,00, 00053, , ,10,00, 00139, , ,11,00, 00429, , ,12,00, 00242, , ,13,00, 01625, , 
040693,99999,04,TPCP,HI,1986,9,9,01,00, 00525, , ,02,00, 01115, , ,03,00, 00772, , ,04,00, 00095, , ,05,00, 00031, , ,06,00, 00000, , ,07,00, 00004, , ,08,00, 00000, , ,09,00, 00164, , ,10,00, 00018, , ,11,00, 00032, , ,12,00, 00158, , ,13,00, 02914, , 
040693,99999,04,TPCP,HI,1987,9,9,01,00, 00356, , ,02,00, 00601, , ,03,00, 00282, , ,04,00, 00022, , ,05,00, 00007, , ,06,00, 00000,T, ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00000, , ,10,00, 00126, , ,11,00, 00263, , ,12,00, 00538, , ,13,00, 02195, , 
040693,99999,04,TPCP,HI,1988,9,9,01,00, 00414, , ,02,00, 00055, , ,03,00, 00009, , ,04,00, 00267, , ,05,00, 00099, , ,06,00, 00059, , ,07,00, 00000, , ,08,99,-99999,M, ,09,99,-99999,M, ,10,99,-99999,M, ,11,99,-99999,M, ,12,99,-99999,M, ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1989,9,9,01,99,-99999,M, ,02,99,-99999,M, ,03,99,-99999,M, ,04,00, 00083, , ,05,00, 00007, , ,06,00, 00007, , ,07,00, 00000, , ,08,00, 00000,T, ,09,00, 00118, , ,10,00, 00247, , ,11,00, 00172, , ,12,00, 00000, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1990,9,9,01,00, 00574, , ,02,00, 00281, , ,03,00, 00147, , ,04,00, 00038, , ,05,00, 00400, , ,06,00, 00002, , ,07,00, 00000,T, ,08,00, 00000, , ,09,00, 00020, , ,10,00, 00065, , ,11,00, 00065, , ,12,00, 00176, , ,13,00, 01768, , 
040693,99999,04,TPCP,HI,1993,9,9,01,99,-99999,M, ,02,99,-99999,M, ,03,99,-99999,M, ,04,99,-99999,M, ,05,99,-99999,M, ,06,99,-99999,M, ,07,99,-99999,M, ,08,99,-99999,M, ,09,99,-99999,M, ,10,99,-99999,M, ,11,99,-99999,M, ,12,00, 00338, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1994,9,9,01,00, 00244, , ,02,00, 00493, , ,03,00, 00023, , ,04,00, 00187, , ,05,00, 00163, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00000, , ,10,00, 00042, , ,11,00, 00865, , ,12,00, 00358, , ,13,00, 02375, , 
040693,99999,04,TPCP,HI,1995,9,9,01,00, 01037, , ,02,00, 00021, , ,03,00, 00928, , ,04,00, 00157, , ,05,00, 00089, , ,06,00, 00106, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00000, , ,10,00, 00009, , ,11,00, 00000, , ,12,00, 00756, , ,13,00, 03103, , 
040693,99999,04,TPCP,HI,1996,9,9,01,00, 00674, , ,02,00, 00752, , ,03,00, 00186, , ,04,00, 00212, , ,05,00, 00286, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00000, , ,10,00, 00086, , ,11,00, 00289, , ,12,00, 00944, , ,13,00, 03429, , 
